Afghanistan	%%2000%%2016%%-7.2761
Albania	%%2000%%2016%%-19.795
Algeria	%%2000%%2016%%14.5049
Angola	%%2000%%2016%%1.4062
Arab World	%%2000%%2016%%2.4506
Argentina	%%2000%%2016%%9.9536
Armenia	%%2000%%2016%%12.9805
Australia	%%2000%%2016%%-1.5323
Austria	%%2000%%2016%%-6.0488
Azerbaijan	%%2000%%2016%%2.8652
Bahamas, The	%%2000%%2016%%-4.9163
Bahrain	%%2000%%2016%%-1.5296
Bangladesh	%%2000%%2016%%-6.2234
Barbados	%%2000%%2016%%-12.0716
Belarus	%%2000%%2016%%3.6915
Belgium	%%2000%%2016%%-7.1188
Belize	%%2000%%2016%%2.7254
Benin	%%2000%%2016%%-9.9214
Bhutan	%%2000%%2016%%-8.232
Bolivia	%%2000%%2016%%2.4819
Bosnia and Herzegovina	%%2000%%2016%%-9.7729
Botswana	%%2000%%2016%%0.1837
Brazil	%%2000%%2016%%-2.8247
Brunei Darussalam	%%2000%%2016%%-4.9569
Bulgaria	%%2000%%2016%%18.1143
Burkina Faso	%%2000%%2016%%-0.5306
Burundi	%%2000%%2016%%-1.3414
Cabo Verde	%%2000%%2016%%1.4252
Cambodia	%%2000%%2016%%5.9012
Cameroon	%%2000%%2016%%5.9195
Canada	%%2000%%2016%%-3.628
Caribbean small states	%%2000%%2016%%-2.6209
Central African Republic	%%2000%%2016%%-2.0623
Central Europe and the Baltics	%%2000%%2016%%5.779
Chad	%%2000%%2016%%-0.7103
Channel Islands	%%2000%%2016%%-7.4365
Chile	%%2000%%2016%%2.9807
China	%%2000%%2016%%-6.9538
Colombia	%%2000%%2016%%7.5428
Comoros	%%2000%%2016%%1.0675
Congo, Dem. Rep.	%%2000%%2016%%-2.3511
Congo, Rep.	%%2000%%2016%%6.895
Costa Rica	%%2000%%2016%%-8.9404
Cote d'Ivoire	%%2000%%2016%%-1.8916
Croatia	%%2000%%2016%%-4.3966
Cuba	%%2000%%2016%%-0.211
Cyprus	%%2000%%2016%%-10.6031
Czech Republic	%%2000%%2016%%1.583
Denmark	%%2000%%2016%%-9.5599
Djibouti	%%2000%%2016%%2.9852
Dominican Republic	%%2000%%2016%%-2.3904
Early-demographic dividend	%%2000%%2016%%-1.8651
East Asia & Pacific	%%2000%%2016%%-4.8506
East Asia & Pacific (IDA & IBRD)	%%2000%%2016%%-4.9645
East Asia & Pacific (excluding high income)	%%2000%%2016%%-4.9654
Ecuador	%%2000%%2016%%-3.4821
Egypt, Arab Rep.	%%2000%%2016%%1.7092
El Salvador	%%2000%%2016%%0.6715
Equatorial Guinea	%%2000%%2016%%-1.1717
Eritrea	%%2000%%2016%%-0.7065
Estonia	%%2000%%2016%%12.8644
Ethiopia	%%2000%%2016%%-1.5339
Euro area	%%2000%%2016%%-5.9666
Europe & Central Asia	%%2000%%2016%%0.1705
Europe & Central Asia (IDA & IBRD)	%%2000%%2016%%5.4322
Europe & Central Asia (excluding high income)	%%2000%%2016%%4.7644
European Union	%%2000%%2016%%-3.2792
Fiji	%%2000%%2016%%-6.3026
Finland	%%2000%%2016%%-6.6923
Fragile and conflict affected situations	%%2000%%2016%%-0.8908
France	%%2000%%2016%%-6.1231
French Polynesia	%%2000%%2016%%-9.3367
Gabon	%%2000%%2016%%-10.5218
Gambia, The	%%2000%%2016%%-0.5955
Georgia	%%2000%%2016%%4.3433
